<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
SBERP;10;03/01/18;10:10;190.8500000
SBERP;10;03/01/18;10:20;191.0200000
SBERP;10;03/01/18;10:30;191.4900000
SBERP;10;03/01/18;10:40;192.3800000
SBERP;10;03/01/18;10:50;192.0600000
SBERP;10;03/01/18;11:00;192.3300000
SBERP;10;03/01/18;11:10;193.7200000
SBERP;10;03/01/18;11:20;193.5200000
SBERP;10;03/01/18;11:30;193.8000000
SBERP;10;03/01/18;11:40;193.6900000
SBERP;10;03/01/18;11:50;193.4100000
SBERP;10;03/01/18;12:00;193.3100000
SBERP;10;03/01/18;12:10;193.5500000
SBERP;10;03/01/18;12:20;193.9100000
SBERP;10;03/01/18;12:30;192.9400000
SBERP;10;03/01/18;12:40;193.7000000
SBERP;10;03/01/18;12:50;193.8200000
SBERP;10;03/01/18;13:00;193.8500000
SBERP;10;03/01/18;13:10;193.8000000
SBERP;10;03/01/18;13:20;194.8800000
SBERP;10;03/01/18;13:30;194.6300000
SBERP;10;03/01/18;13:40;194.8200000
SBERP;10;03/01/18;13:50;195.0000000
SBERP;10;03/01/18;14:00;194.6900000
SBERP;10;03/01/18;14:10;195.0900000
SBERP;10;03/01/18;14:20;195.0700000
SBERP;10;03/01/18;14:30;195.7600000
SBERP;10;03/01/18;14:40;195.8900000
SBERP;10;03/01/18;14:50;195.9400000
SBERP;10;03/01/18;15:00;195.8800000
SBERP;10;03/01/18;15:10;195.5800000
SBERP;10;03/01/18;15:20;195.8800000
SBERP;10;03/01/18;15:30;195.8700000
SBERP;10;03/01/18;15:40;196.2400000
SBERP;10;03/01/18;15:50;197.0000000
SBERP;10;03/01/18;16:00;196.9000000
SBERP;10;03/01/18;16:10;196.5000000
SBERP;10;03/01/18;16:20;196.5300000
SBERP;10;03/01/18;16:30;196.8800000
SBERP;10;03/01/18;16:40;196.7900000
SBERP;10;03/01/18;16:50;196.7000000
SBERP;10;03/01/18;17:00;196.5800000
SBERP;10;03/01/18;17:10;196.9200000
SBERP;10;03/01/18;17:20;196.9000000
SBERP;10;03/01/18;17:30;196.8900000
SBERP;10;03/01/18;17:40;197.3000000
SBERP;10;03/01/18;17:50;196.6700000
SBERP;10;03/01/18;18:00;196.9200000
SBERP;10;03/01/18;18:10;197.0500000
SBERP;10;03/01/18;18:20;196.8800000
SBERP;10;03/01/18;18:30;197.0900000
SBERP;10;03/01/18;18:40;197.1600000
SBERP;10;03/01/18;18:50;197.3000000
